"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","test_forms[chromium-Haim Moshe-haim.moshe@gmail.com-I am singer-None-Thanks for contacting us]","Ultimateqa.ui_tests","Mon Jul 28 19:57:07 UTC 2025","broken","Mon Jul 28 19:57:07 UTC 2025","TestUI","test_fe","",""
"","38","test_get_post_number1","api_tests","Mon Jul 28 19:57:01 UTC 2025","passed","Mon Jul 28 19:57:01 UTC 2025","","test_posts","",""
"","30","test_get_user_by_id","api_tests","Mon Jul 28 19:57:01 UTC 2025","passed","Mon Jul 28 19:57:01 UTC 2025","","test_users","",""
"","39","test_delete_post","api_tests","Mon Jul 28 19:57:01 UTC 2025","passed","Mon Jul 28 19:57:01 UTC 2025","","test_posts","",""
"
    Test that the user albums API returns data matching the expected schema.
    ","29","test_user_albums_schema_with_marshmellow","api_tests.Integration_tests","Mon Jul 28 19:57:01 UTC 2025","passed","Mon Jul 28 19:57:01 UTC 2025","","test_user_alboms","",""
"","0","test_verify_href_link[chromium]","Ultimateqa.ui_tests","Mon Jul 28 19:57:01 UTC 2025","broken","Mon Jul 28 19:57:01 UTC 2025","TestUI","test_fe","",""
"
    Validates that each album in the response has the correct schema:
    - id: int
    - title: str
    - userId: int
    ","24","test_user_albums_schema","api_tests.Integration_tests","Mon Jul 28 19:57:01 UTC 2025","passed","Mon Jul 28 19:57:01 UTC 2025","","test_user_alboms","",""
"","28","test_get_user_by_id2","api_tests","Mon Jul 28 19:57:01 UTC 2025","passed","Mon Jul 28 19:57:01 UTC 2025","","test_users","",""
"","0","test_count_buttons[chromium]","Ultimateqa.ui_tests","Mon Jul 28 19:57:01 UTC 2025","broken","Mon Jul 28 19:57:01 UTC 2025","TestUI","test_fe","",""
"","30","test_get_user_albom_number_2","api_tests.Integration_tests","Mon Jul 28 19:57:01 UTC 2025","passed","Mon Jul 28 19:57:01 UTC 2025","","test_user_alboms","",""
"","24","test_get_posts_count","api_tests","Mon Jul 28 19:57:01 UTC 2025","passed","Mon Jul 28 19:57:01 UTC 2025","","test_posts","",""
"","0","test_forms[chromium-Asaf Levi-asaf@gmail.com-I am Asaf-0-You entered the wrong number in captcha.]","Ultimateqa.ui_tests","Mon Jul 28 19:57:07 UTC 2025","broken","Mon Jul 28 19:57:07 UTC 2025","TestUI","test_fe","",""
"","33","test_update_post","api_tests","Mon Jul 28 19:57:01 UTC 2025","passed","Mon Jul 28 19:57:01 UTC 2025","","test_posts","",""
"","0","test_count_buttons_using_css[chromium]","Ultimateqa.ui_tests","Mon Jul 28 19:57:07 UTC 2025","broken","Mon Jul 28 19:57:07 UTC 2025","TestUI","test_fe","",""
"","29","test_create_post","api_tests","Mon Jul 28 19:57:01 UTC 2025","passed","Mon Jul 28 19:57:01 UTC 2025","","test_posts","",""
"","0","test_forms[chromium-Haim Cohen-adam@gmail.com-I am Adam-None-Thanks for contacting us]","Ultimateqa.ui_tests","Mon Jul 28 19:57:01 UTC 2025","broken","Mon Jul 28 19:57:01 UTC 2025","TestUI","test_fe","",""
"","125","test_get_posts_count","api_tests.Integration_tests","Mon Jul 28 19:57:01 UTC 2025","passed","Mon Jul 28 19:57:01 UTC 2025","","test_user_alboms","",""
